Name,Device Type,Device MAC,Associated To Mac,Associated To Hostname,IPv4 Address,IPv6 Address,User Name,Wlan,Channel,RF-Domain,Vlan,OS,Authentication,Encryption,BSSID
PGTJ46-01,Intel Corp,14-AB-C5-1A-11-9D,84-24-8D-1A-F8-D4,AP1047-1AF8D4,10.13.2.121,fe80::1c1b:f2d5:5950:bb94,14-AB-C5-1A-11-9D,LAB-Wireless,36,AMERNY12,986,Unknown,eap,ccmp,84-24-8D-3F-10-A0
JFH638-10-9717,Intel Corp,14-AB-C5-1C-76-81,84-24-8D-DF-5F-B0,AP3477-DF5FB0,10.132.120.176,fe80::c454:f01c:9d0f:d374,host/JFH638-10-9717.ds.mot.com,LAB-Wireless,1,EMEAZUK113,986,Unknown,eap,ccmp,74-67-F7-09-87-00
CHELLEWELL-LT,Intel Corp,14-AB-C5-1D-2C-D4,84-24-8D-1B-89-78,AP3003-1B8978,150.130.82.178,fe80::6536:6052:d121:35f1,,M-Guest,44,EMEAZPL13,164,Unknown,psk,ccmp,84-24-8D-42-4B-01
TBFW37-01,Intel Corp,14-AB-C5-1D-A9-F7,84-24-8D-1B-7A-4C,AP4063-1B7A4C,10.228.25.71,fe80::4cef:c989:4e54:d840,host/TBFW37-01.ds.mot.com,LAB-Wireless,149,ASIAZMY33,986,Unknown,eap,ccmp,84-24-8D-40-32-D0
WVT478-01,Intel Corp,14-AB-C5-1D-AA-1A,84-24-8D-1B-72-84,AP4109-1B7284,10.228.2.195,fe80::5804:17ea:83f8:5e05,WVT478@motorolasolutions.com,LAB-Wireless,1,ASIAZMY33,986,Unknown,eap,ccmp,84-24-8D-3F-82-D0
BFN486-10-9730,Intel Corp,14-AB-C5-1F-01-E9,B8-50-01-17-66-25,AP3838-176625,10.132.120.203,N/A,host/BFN486-10-9730.ds.mot.com,LAB-Wireless,36,EMEAZUK113,986,Unknown,eap,ccmp,B8-50-01-0C-99-40
JPMR67-10-9715,Intel Corp,14-AB-C5-23-84-99,B8-50-01-17-65-EE,AP3839-1765EE,10.132.120.45,fe80::6deb:ab0f:ddef:9d98,host/JPMR67-10-9715.ds.mot.com,LAB-Wireless,44,EMEAZUK113,986,Unknown,eap,ccmp,B8-50-01-0C-70-A0
CNTP86-10-9716,Intel Corp,14-AB-C5-23-BD-B5,B8-50-01-17-65-EE,AP3839-1765EE,10.132.120.173,fe80::f580:3809:cd64:f367,host/CNTP86-10-9716.ds.mot.com,LAB-Wireless,44,EMEAZUK113,986,Unknown,eap,ccmp,B8-50-01-0C-70-A0
zdk02-4f74,Intel Corp,14-AB-C5-27-3E-E5,84-24-8D-1A-2F-50,AP3268-1A2F50,10.172.11.40,fe80::1d74:ccdd:2096:716c,host/zdk02-4f74.ds.mot.com,LAB-Wireless,1,EMEAZDK02,986,Unknown,eap,ccmp,84-24-8D-38-F8-80
zdk02-4f73,Intel Corp,14-AB-C5-27-3F-67,84-24-8D-1A-2F-40,AP3295-1A2F40,10.172.11.59,fe80::354b:e449:3cb1:bc1e,host/zdk02-4f73.ds.mot.com,LAB-Wireless,44,EMEAZDK02,986,Unknown,eap,ccmp,84-24-8D-39-46-20
ADW027-02,Intel Corp,14-AB-C5-27-5A-88,84-24-8D-1B-86-78,AP3067-1B8678,10.171.58.226,N/A,host/ADW027-02.ds.mot.com,LAB-Wireless,44,EMEAZPL13,986,Unknown,eap,ccmp,84-24-8D-42-6D-00
(null),Intel Corp,14-AB-C5-2F-78-0D,84-24-8D-1B-33-D0,AP0850-1B33D0,0.0.0.0,N/A,,LAB-Wireless,149,AMERUT11,986,Unknown,eap,ccmp,84-24-8D-3F-2C-90
bheussercli-de,Intel Corp,14-AB-C5-2F-78-12,84-24-8D-1B-23-A8,AP2385-1B23A8,150.130.7.21,fe80::bd9e:def8:112d:7e87,,M-Guest,132,AMERIL156,164,Unknown,psk,ccmp,84-24-8D-3F-5E-91
hackbox,Intel Corp,14-AB-C5-2F-7D-DF,84-24-8D-1B-30-44,AP0789-1B3044,10.14.33.131,fe80::6b48:7482:36cb:1651,vxpd64,LAB-Wireless,44,AMERUT11,986,Unknown,eap,ccmp,84-24-8D-3F-46-00
(null),Intel Corp,14-AB-C5-30-C4-6F,84-24-8D-1B-83-EC,AP4121-1B83EC,0.0.0.0,N/A,,M-Guest,6,ASIAZMY33,164,Unknown,psk,ccmp,84-24-8D-3F-C1-E1
T60841W3PG92,Intel Corp,14-AB-C5-4C-8E-E3,84-24-8D-1B-36-10,AP0209-1B3610,150.130.10.240,fe80::1075:e938:8e7c:81ca,,M-Guest,100,AMERIL01,164,Unknown,psk,ccmp,84-24-8D-3F-6A-81
T6084JV3PG92,Intel Corp,14-AB-C5-4C-8E-E8,84-24-8D-1B-36-10,AP0209-1B3610,150.130.5.243,fe80::21f2:94ce:e7f:757f,,M-Guest,100,AMERIL01,164,Unknown,psk,ccmp,84-24-8D-3F-6A-81
T6084BW3PG92,Intel Corp,14-AB-C5-4C-A3-38,84-24-8D-1B-22-04,AP0194-1B2204,150.130.8.96,fe80::991c:96b2:2f13:d76e,,M-Guest,149,AMERIL01,164,Unknown,psk,ccmp,84-24-8D-3F-4C-81
QTP468-01,Intel Corp,14-AB-C5-B2-E7-2E,84-24-8D-1B-7D-98,AP4203-1B7D98,10.228.14.176,fe80::2d7a:2ee9:9ac3:1ba0,host/QTP468-01.ds.mot.com,LAB-Wireless,11,ASIAZMY33,986,Unknown,eap,ccmp,84-24-8D-41-00-70
ngph84-02,Intel Corp,14-AB-C5-DA-FD-0E,84-24-8D-1B-87-30,AP3041-1B8730,10.171.61.159,fe80::4d6a:61e3:27a6:b7fd,host/ngph84-02.ds.mot.com,LAB-Wireless,6,EMEAZPL13,986,Unknown,eap,ccmp,84-24-8D-40-02-50
